id,data
1346104327,[by:Lucky-SN]*-* 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*...
1383927243, 作曲 : 枯木逢春*-* 作词 : 枯木逢春*-*远方灯火闪亮着光*-*你一人低头在路上*-*这城...
1405319676, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*吉他：黄超*...
1336856777, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*我曾被无数的冷风吹透我胸口*-*我曾被遥远的梦逼...
1365221826, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*天黑了 你很忧愁*-*你说世界上*-*找不到四块...
1356499052, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*鼓手：祁大为...
1346093140,[by:keepthedream]*-* 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：...
1331997081, 作曲 : 草东没有派对*-* 作词 : 草东没有派对*-*他明白*-*他明白*-*我给不起*-*于...
1373236574, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*鼓手：郝稷伦...
1325484613, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*踏过青山昨日的落寞*-*你扶楼阁弹一曲青涩*-*...
1392971370, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*吉他：黄超*...
1309130038,[by:罗马万民]*-* 作曲 : 许嵩*-* 作词 : 许嵩*-*在远方的时候*-*又想你到泪流*...
1400050991, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*吉他：黄超*...
1334327077, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*吉他：黄超*...
1301212183,[by:十一画的往复]*-*站在公交车里*-*抓着摇曳的手环*-*我的命运啊*-*像他一样摇摆*-*...
1346472029,我坐在角落*-*看霓虹闪烁*-*这个城市一如既往的寂寞*-*我知道 我的世界*-*已经没有你了*-*...
511124094,[by:一只酷炫的猫]*-*原唱：梁博*-*OP：北京少城时代文化发展有限公司*-*翻唱：*-* 作...
1361195373, 作曲 : 刘大明*-* 作词 : 李明轩*-**-*遥想当日花冠与红绸*-*伊人堂前翩翩舞香袖*-...
554095819,[by:药名为恨]*-* 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*踏过青山 昨日的落魄*-...
546372110, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*天黑了 你很忧愁*-*你说世界上*-*找不到四块...
1390025989, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊/林道影*-*制作人：段小林*-*编曲：王东宇.林逸航...
1317529766,[by:双鱼座的小金牛]*-* 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-**-*我一个人走夜...
1379445889, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*鼓手：郝稷伦...
1296590092,[by:反思_]*-* 作曲 : 无*-* 作词 : 无*-*把太细的神经割掉*-*会不会比较睡得着...
1327196794,[by:keepthedream]*-* 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-**-*世...
549059804, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*我曾被无数的冷风吹透我胸口*-*我曾被遥远的梦逼...
1394169337, 作曲 : 秦咏诚*-* 作词 : 张藜*-*演唱：隔壁老樊*-*我和我的祖国一刻也不能分割*-*无...
1322081384, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*生而为人且善良 长亦成芒*-*近我者本赤 后刁我...
568741706,[by:反思_]*-* 作曲 : 隔壁老樊*-* 作词 : 来源薛之谦*-*编曲 司阳*-*录制 谢...
1391441275, 作曲 : 章荣强*-* 作词 : 韩毅*-*编曲：王东宇 林逸航*-*吉他：张淞*-*录音：洪士诚...
479107928,[by:林辞LinCi]*-* 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*说起你爱的姑娘*-...
1327199767, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*我曾被无数的冷风吹痛我胸口*-*我曾被遥远的梦逼...
1359376992, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*我的一生要经...
560395415, 作曲 : 隔壁老樊*-* 作词 : 隔壁老樊*-*结婚的时候记得送我请柬*-*然后记得为我摆宴*-...
1345693402,...
1336856778,...
1383925726,...
1405318715,...
1365225156,...
1356499057,...
1400050990,...
1346104135,...
1325484614,...
1394169342,...
1361195410,[by:Anndy朝雾]*-* 作曲 : 刘大明*-* 作词 : 李明轩*-**-*遥想当日花冠与红...
1334297075,...
1373246101,...
1359382346,...
1392970602,...
1379458217,...
1374056689,作词 : 薛之谦*-*作曲 : 薛之谦*-*不知道为了什么 忧愁它烦扰着我*-*有时会借着月光 能带...
417859631, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*制作 : 薛之谦*-**-*编曲 : 周以力*-*吉...
27890306, 作曲 : 杨子朴*-* 作词 : 杨子朴*-*我在清晨的路上*-*谁被我遗忘*-*我在深夜里旅行*...
1374051000,作词 : 薛之谦*-*作曲 : 薛之谦*-**-*听专情的古人  把美言留给最爱的人*-*看裹小脚的...
32507038, 作曲 : 薛之谦*-* 作词 : 薛之谦*-**-*简单点说话的方式简单点*-**-*递进的情绪请...
1374056687,作词 : 薛之谦*-*作曲 : 宋涛*-*这星球像一颗胚胎*-*将我们温柔地覆盖*-*黎明后积极地运...
1374061038,作词 : 裴志森 / 薛之谦*-*作曲 : 张洢豪*-*狭小的房间空荡荡*-*你不在的心房多空旷*-...
27955653, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*你停在了这条我们熟悉的街*-*把你准备好的台词全念一...
1334647784, 作曲 : 薛之谦*-* 作词 : 薛之谦*-* 用怀念的方式  在一起的样子*-* 距离一尺 秋叶...
471385043, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*反正现在的感情 都暧昧*-*你大可不必为难 找般配*...
32192436, 作曲 : 薛之谦*-* 作词 : 薛之谦*-**-*好久没见了什么角色呢*-*细心装扮着*-*白色...
415792881, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*编曲 : 郑伟*-*如果有人在灯塔*-*拨弄她的头发...
27955654, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*不需要借口*-*爱淡了就放手*-*我不想听*-*你也...
468517654, 作曲 : 郭顶*-* 作词 : 薛之谦*-*东打一下西戳一下*-*动物未必需要尖牙*-*示爱的方法...
169185, 作曲 : 薛之谦*-* 作词 : 薛之谦*-* （雪下得那么深下得那么认真）*-* （倒映出我躺在...
516657051,作词：薛之谦*-*作曲：薛之谦*-**-*我等的模样好不具象*-*用皮肤感受你的流向*-*你竟然能做...
1374061028,作词 : 薛之谦*-*作曲 : 许嵩*-**-*对过往的自己 敬个礼*-*从此 再伤害我也没关系*-...
557583281,原唱：刘维*-*原词曲： 汪苏泷*-*新版作词：薛之谦 汪苏泷*-*新版作曲：薛之谦 汪苏泷*-*我...
1374061036,作词 : 薛之谦*-*作曲 : 薛之谦　*-**-*你去过的地方我都去过 前后的故事大概听说*-*你...
574921549, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*制作人:郑楠*-*编曲:郑楠*-*录音:汝文博*-*...
27955658, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*感觉很诚恳是好事*-*不需要发誓 那么幼稚*-*本以...
27808044, 作曲 : 李荣浩*-* 作词 : 甘世佳*-*如果世界漆黑 其实我很美*-*在爱情里面进退 最多被...
1374056688,作词 : 薛之谦*-*作曲 : 薛之谦*-*我是被你吸引的尘埃*-*屋檐下最渺小的陪伴*-*爱情不用...
35528482,[by:立酱]*-* 作曲 : 李荣浩*-* 作词 : 薛之谦*-*编曲：郑伟*-*合声：陈怀恩*-...
1294910785, 作曲 : 林倛玉/郭顶*-* 作词 : 小寒/廖慧明/郭顶*-*最好就这样能把你忘掉*-*最好能不...
32507039,[by:立酱]*-* 作曲 : 薛之谦*-* 作词 : 薛之谦*-*编曲：张宝宇*-*录音师：王晓海...
557581967, 作曲 : 张洢豪*-* 作词 : 薛之谦*-*角色精湛 主题略荒诞*-*理由太短 是让人不安*-*...
515803379, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*别犹豫 别偶遇 别相遇*-*别一个人去看喜剧*-*别...
571340283, 作曲 : 方毅*-* 作词 : 薛之谦*-**-*试着留盏灯假装陪伴失眠的我*-*窗口就有等待的效...
474567044,作词：薛之谦*-*作曲：薛之谦*-*我害怕你的消息*-*不经意被谁提起*-**-*像曾贴着我耳边的气...
27955652, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*闭上眼睛 什么都不听*-**-*也许有救 反正会内疚...
466122271, 作曲 : 周以力*-* 作词 : 薛之谦*-*在阴郁的地方 积攒能量*-*人交出了什么 能变个样*...
525241230, 作曲 : 周以力*-* 作词 : 薛之谦*-*前提 是你要先感受到一丝恶意*-*具体 请闯入我森林...
27955656, 作曲 : 郭顶*-* 作词 : 郭顶*-*幽默的人都怕误会这种称谓*-**-*这一刻把我当成谁不如...
412902689, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*编曲/制作 : 郑伟*-*女声 : 孟楠*-*录音 ...
553543014, 作曲 : 唐汉霄*-* 作词 : 薛之谦*-*结构*-*让平分的阳光已穿不透*-*诱人的方式是绝无...
169137,[by:什么是被你需要]*-*[ti:我知道你都知道]*-*[ar:薛之谦]*-*[al:]*-*[...
518894283, 作曲 : 郭顶*-* 作词 : 甘世佳*-*是什么在召唤着我提醒我*-*我懦弱过犹豫过*-*若我能...
33071053, 作曲 : 陈耀川*-* 作词 : 廖莹如*-**-*浩瀚星海中 坚持一种梦*-*你手中的温暖 我好...
429450375, 作曲 : 常石磊/袁娅维*-* 作词 : 常石磊*-*鼓 : 李彦超*-*吉他 : 劳国贤*-*贝...
169140, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*买醉过几个夜晚 喝几杯咖啡 和几个人聊天*-*我搬过...
520458481, 作曲 : 薛之谦*-* 作词 : 薛之谦*-*花被人摘走*-*心被虫吸走*-*我一无所有*-*错过...
443277013, 作曲 : 韩星洲*-* 作词 : 薛之谦*-*我在听新闻里面说 他们曾来过*-*火星人的心脏靠左*...
421160838, 作曲 : 薛之谦/高阳Gary*-* 作词 : 文雅*-*编曲 : 郑伟*-*录音 : 莫家伟*-...
517571371,中文词：薛之谦*-*原词曲：Torbjorn Brundtland，Svein Berge*-**-...
35288183, 作曲 : 郭顶*-* 作词 : 郭顶*-**-*嘲笑我有多简单*-*像番茄加两个蛋*-*闭上眼就睡...
169152,[by:顾启杭的床边故事]*-* 作曲 : 薛之谦*-* 作词 : 甘世佳*-**-*为你唱过 一场...
418603445, 作曲 : 赵佳霖*-* 作词 : 崔恕*-*（鹿晗）*-*太阳当空照*-*花儿对我笑*-*小鸟说早...
27955655,[by:什么是被你需要]*-*[ti:我想起你了]*-*[ar:薛之谦]*-*[al:]*-*[by...
27955651, 作曲 : 郭顶*-* 作词 : 郭顶*-*天桥上加冕新装*-*闪耀过塔尖繁华*-*跻身最热门排行*...
1407551413, 作曲 : 李荣浩*-* 作词 : 李荣浩*-*编曲 : 李荣浩*-*制作人 : 李荣浩*-**-*...
